"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.427823333E-1,4.557422791E0,3.003354492E0,1.190773773E1,1.309902510E1
7.528043333E-1,4.168531494E0,5.406307526E0,1.160057648E1,1.346024481E1
7.628253333E-1,3.623065796E0,6.529421997E0,1.083342178E1,1.315762079E1
7.728463333E-1,4.110003204E0,5.677244110E0,9.202712860E0,1.156776344E1
7.828683333E-1,4.168082428E0,5.215903473E0,8.199648743E0,1.057415716E1
7.928893333E-1,4.499193878E0,5.338797913E0,8.611143036E0,1.108590515E1
8.029103333E-1,4.597838745E0,5.879174194E0,1.014724869E1,1.259648627E1
8.129323333E-1,4.671784973E0,6.210435333E0,1.145253433E1,1.384036215E1
8.229533333E-1,4.303251343E0,5.999523926E0,1.133532806E1,1.352782029E1
8.329753333E-1,4.107458496E0,5.313201141E0,1.092937225E1,1.282780182E1
8.429963333E-1,4.111799469E0,4.700375519E0,1.069346283E1,1.238347981E1
8.530173333E-1,3.847449188E0,4.378993835E0,1.054437286E1,1.204832982E1
8.630393333E-1,3.603007507E0,3.996688843E0,1.044333298E1,1.174812276E1
8.730603333E-1,2.975512390E0,3.755839691E0,9.684411163E0,1.080499076E1
8.830813333E-1,2.991529083E0,3.290158081E0,9.034911804E0,1.006995619E1
8.931033333E-1,2.989583130E0,2.433190155E0,8.549770660E0,9.378518005E0
9.031243333E-1,3.333418121E0,1.426383820E0,8.538993073E0,9.276887941E0
9.131453333E-1,3.656147003E0,8.750802612E-1,8.703201599E0,9.480448009E0
9.231673333E-1,4.193080444E0,2.353106689E-1,8.924142151E0,9.862941136E0
9.331883333E-1,4.517306213E0,-5.340893555E-1,8.491242371E0,9.632886580E0
9.432093333E-1,4.675976257E0,-1.033450928E0,7.647896118E0,9.023474376E0
9.532313333E-1,5.246889038E0,-1.836081848E0,6.086942139E0,8.243294592E0
9.632523333E-1,5.490731964E0,-2.237546997E0,5.031486969E0,7.776285436E0
9.732743333E-1,5.408552856E0,-2.019899597E0,4.678071899E0,7.430800433E0
9.832953333E-1,5.712720337E0,-1.574875031E0,4.660857697E0,7.539164375E0
9.933163333E-1,6.345304871E0,-1.363514557E0,4.493505707E0,7.893900138E0
1.003338333E0,6.611002350E0,-9.984237671E-1,4.024680634E0,7.803861627E0
1.013359333E0,6.558910675E0,-5.923182678E-1,3.379522247E0,7.402115967E0
1.023380333E0,6.659052429E0,-2.787203979E-1,3.185675354E0,7.387096302E0
1.033402333E0,6.997947693E0,2.415975952E-1,3.311413879E0,7.745650598E0
1.043423333E0,7.199877777E0,9.830058289E-1,3.893703003E0,8.244116905E0
1.053444333E0,7.298672333E0,1.630259857E0,4.193978577E0,8.574253397E0
1.063466333E0,7.897277527E0,1.516346741E0,4.389771423E0,9.161680682E0
1.073487333E0,8.662336578E0,6.539900208E-1,4.986730042E0,1.001654903E1
1.083508333E0,9.781409454E0,-5.174739075E-1,5.531746674E0,1.124917648E1
1.093530333E0,1.137694153E1,-1.724863129E0,5.390590210E0,1.270702224E1
1.103551333E0,1.314476532E1,-3.694916382E0,5.793701935E0,1.483254006E1
1.113573333E0,1.311961761E1,-4.290527802E0,5.225184174E0,1.475925285E1
1.123594333E0,1.217388428E1,-3.321443024E0,4.950205994E0,1.355507217E1
1.133615333E0,1.140568176E1,-2.196083221E0,4.525389404E0,1.246561299E1
1.143637333E0,1.058119629E1,-1.030157776E0,4.466561737E0,1.153139687E1
1.153658333E0,9.661359100E0,4.668791199E-1,4.879552917E0,1.083373770E1
1.163679333E0,8.663683777E0,2.289788361E0,5.246889038E0,1.038423767E1
1.173701333E0,7.638016663E0,3.414998474E0,5.710325317E0,1.012962627E1
1.183722333E0,6.709198151E0,4.232298889E0,6.528074799E0,1.027333706E1
1.193743333E0,6.180347900E0,3.406915283E0,6.967261505E0,9.916980629E0
1.203765333E0,6.552773438E0,2.378553772E-1,7.132517853E0,9.688561597E0
1.213786333E0,7.382647705E0,-3.552113342E0,6.754703522E0,1.061823978E1
1.223807333E0,8.675958252E0,-4.591252441E0,2.806214447E0,1.020914737E1
1.233829333E0,8.717422028E0,-3.684138794E0,1.657203827E0,9.607947230E0
1.243850333E0,7.680677948E0,-3.989653473E0,3.643273773E0,9.390611927E0
1.253872333E0,6.698270874E0,-3.795656891E0,5.929469604E0,9.717636221E0
1.263893333E0,5.662724304E0,-6.128854980E0,8.351732483E0,1.180596228E1
1.273914333E0,6.899452515E0,-8.481961670E0,8.324189758E0,1.374184318E1
1.283936333E0,8.557704163E0,-8.395890656E0,7.084916840E0,1.392556380E1
1.293957333E0,8.850195923E0,-8.439450073E0,5.735622711E0,1.350731851E1
1.303978333E0,8.666827240E0,-8.856782227E0,4.646637268E0,1.323433881E1
1.314000333E0,8.699309692E0,-8.688831482E0,3.937412109E0,1.291034453E1
1.324021333E0,8.149053955E0,-8.467591553E0,4.155658264E0,1.246501836E1
1.334042333E0,7.622449036E0,-7.958500214E0,3.935017090E0,1.170144497E1
1.344064333E0,7.347321167E0,-6.681356049E0,4.010909271E0,1.071032400E1
1.354081167E0,6.820566559E0,-5.326972504E0,4.344116364E0,9.683393580E0
1.364103167E0,6.594536591E0,-4.951553192E0,3.935915222E0,9.137681352E0
1.374124167E0,6.755601654E0,-3.944447479E0,4.778513031E0,9.166842772E0
1.384145167E0,6.062393188E0,-2.902015228E0,5.316494293E0,8.569679990E0
1.394167167E0,5.937852173E0,-2.418071594E0,4.113146667E0,7.617291787E0
1.404188167E0,6.202801208E0,-2.332898712E0,2.916684723E0,7.240456409E0
1.414209167E0,6.267915802E0,-2.208657074E0,2.347268829E0,7.048021391E0
1.424231167E0,6.403982849E0,-1.899549866E0,3.076552277E0,7.354213754E0
1.434252167E0,6.099066925E0,-2.694247284E0,3.453917542E0,7.509136579E0
1.444273167E0,5.953419800E0,-3.808530121E0,2.808759155E0,7.605079683E0
1.454295167E0,4.802163849E0,-3.832779694E0,3.126697998E0,6.893998708E0
1.464316167E0,4.630919952E0,-3.597918091E0,2.633922729E0,6.428684402E0
1.474338167E0,5.869294739E0,-3.653751984E0,-5.378315735E-1,6.934535824E0
1.484359167E0,5.630092163E0,-4.895569611E0,-4.047583008E-1,7.471838386E0
1.494380167E0,5.758974152E0,-5.118605804E0,-2.017803955E-1,7.707569266E0
1.504402167E0,6.271658020E0,-4.621489563E0,-5.878276062E-1,7.812643688E0
1.514423167E0,6.228697357E0,-4.416416016E0,1.517843628E-1,7.637043910E0
1.524444167E0,6.226452026E0,-4.540058899E0,5.116360474E-1,7.722862882E0
1.534466167E0,5.859714661E0,-4.255350952E0,-3.592529297E-3,7.241842344E0
1.544487167E0,5.427563324E0,-4.453239441E0,-4.456233215E-1,7.034796749E0
1.554509167E0,4.883145447E0,-6.573879547E0,1.364113312E0,8.301915856E0
1.564530167E0,4.311484222E0,-9.532626801E0,2.623594208E0,1.078624664E1
1.574551167E0,3.733685760E0,-1.008363098E1,3.397634583E0,1.127669916E1
1.584573167E0,3.098107452E0,-1.000773880E1,4.402644653E0,1.136381915E1
1.594594167E0,1.440753937E0,-9.807455292E0,6.182443542E0,1.168266063E1
1.604615167E0,6.192622375E-1,-9.442963257E0,6.896907806E0,1.170984108E1
1.614637167E0,7.580236816E-1,-9.532776489E0,6.366560669E0,1.148832112E1
1.624658167E0,1.244512024E0,-8.907676392E0,1.425844940E1,1.685819944E1
1.634680167E0,2.417622528E0,-9.410780182E0,8.487500153E0,1.290136974E1
1.644701167E0,2.408491516E0,-9.064999237E0,8.549920349E0,1.269157912E1
1.654722167E0,2.465822296E0,-9.420360260E0,9.662406921E0,1.371807474E1
1.664744167E0,3.205434265E0,-1.040037231E1,1.153860535E1,1.586133558E1
1.674765167E0,4.467609558E0,-1.133083740E1,1.147214355E1,1.673193023E1
1.684787167E0,5.358257446E0,-1.207613754E1,1.170969955E1,1.765392547E1
1.694808167E0,5.389392700E0,-1.213601303E1,1.314521439E1,1.868488767E1
1.704829167E0,5.213807831E0,-1.154818542E1,1.485510864E1,1.952482091E1
1.714851167E0,4.747826843E0,-9.593849487E0,1.643058243E1,1.960989155E1
1.724872167E0,4.043990479E0,-7.437134399E0,1.497545837E1,1.720259226E1
1.734893167E0,2.913391571E0,-5.378914490E0,1.148816025E1,1.301531396E1
1.744915167E0,2.052531738E0,-4.066443787E0,1.027343628E1,1.123798668E1
1.754936167E0,2.190095673E0,-3.557502136E0,1.030217651E1,1.111697717E1
1.764958167E0,2.412084045E0,-3.503913574E0,1.024858795E1,1.109635592E1
1.774979167E0,2.241588593E0,-3.657943268E0,9.507030029E0,1.043019119E1
1.785000167E0,2.295027466E0,-3.953279114E0,8.267008667E0,9.446639568E0
1.795022167E0,2.000140686E0,-3.629951477E0,8.193062439E0,9.181687351E0
1.805043167E0,2.204765167E0,-5.076543274E0,6.568939819E0,8.589717772E0
1.815065167E0,3.477718048E0,-6.223607941E0,3.625161438E0,7.998100654E0
1.825086167E0,4.544998627E0,-5.814808044E0,1.619931335E0,7.556003086E0
1.835107167E0,4.701273651E0,-5.122348022E0,7.876620483E-1,6.997201920E0
1.845129167E0,5.000800781E0,-4.096531219E0,7.186555481E-1,6.504309516E0
1.855150167E0,4.682562561E0,-3.215912476E0,6.144721985E-1,5.713673186E0
1.865172167E0,4.695735168E0,-1.268462219E0,1.860331421E0,5.207663408E0
1.875193167E0,5.091063080E0,5.665718079E-1,3.313958588E0,6.101003886E0
1.885214167E0,6.147416382E0,1.931882629E0,4.013903046E0,7.591726834E0
1.895236167E0,7.471263428E0,3.517684937E0,5.471272430E0,9.905993465E0
1.905257167E0,8.419541473E0,4.774621124E0,7.551945648E0,1.227670838E1
1.915279167E0,8.310268707E0,5.559888153E0,1.354458389E1,1.683534006E1
1.925300167E0,8.511450348E0,4.408781891E0,1.361823074E1,1.665347872E1
1.935321167E0,6.942562866E0,3.171454926E0,7.979756012E0,1.104236440E1
1.945343167E0,6.077511749E0,3.122656403E0,7.570057983E0,1.019769140E1
1.955364167E0,5.877377930E0,2.041604462E0,6.954687653E0,9.331634393E0
1.965386167E0,6.278992767E0,1.247356110E0,6.646777954E0,9.228288282E0
1.975407167E0,6.758595428E0,9.963281250E-1,8.677455139E0,1.104398069E1
1.985428167E0,7.033423920E0,1.032403107E0,9.474846954E0,1.184515230E1
1.995450167E0,8.050558777E0,4.936734009E-1,8.282576294E0,1.156098093E1
2.005471167E0,8.954828339E0,-1.326242065E-1,8.484955444E0,1.233697729E1
2.015493167E0,9.528585205E0,-7.363188171E-1,8.770711212E0,1.297156415E1
2.025514167E0,9.487271118E0,-1.355281677E0,8.713230743E0,1.295243188E1
2.035535167E0,9.399403839E0,-1.441951447E0,8.706644440E0,1.289316384E1
2.045557167E0,8.748856659E0,-1.760339355E0,8.976383514E0,1.265767548E1
2.055578167E0,7.577692108E0,-2.603835297E0,9.404942322E0,1.235533553E1
2.065600167E0,6.439758453E0,-3.377875671E0,1.045800247E1,1.273775289E1
2.075621167E0,5.655389557E0,-3.239114227E0,1.143367355E1,1.316070602E1
2.085642167E0,5.514981537E0,-2.315085754E0,1.105376358E1,1.256822711E1
2.095664167E0,6.155798950E0,-1.638941803E0,9.269474030E0,1.124736146E1
2.105685167E0,7.243137817E0,-1.322649536E0,7.485633545E0,1.049986461E1
2.115707167E0,8.454269257E0,-8.952882385E-1,6.672374725E0,1.080725655E1
2.125728167E0,9.523196411E0,-4.481680298E-1,6.275100861E0,1.141354525E1
2.135750167E0,1.028271698E1,-6.795867920E-2,5.933810577E0,1.187219419E1
2.145771167E0,1.087638245E1,1.389111328E-1,5.805377655E0,1.232953370E1
2.155792167E0,1.136990616E1,1.749861145E-1,5.729485474E0,1.273312177E1
2.165814167E0,1.177780792E1,-1.525328064E-1,5.772595825E0,1.311727442E1
2.175835167E0,1.217672836E1,-6.248007202E-1,5.882467346E0,1.353759623E1
