"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.478325417E-1,1.752854919E-1,4.372407532E0,8.819958801E0,9.845828857E0
6.578545416E-1,1.592687988E-1,4.424948273E0,8.854087830E0,9.899515395E0
6.678765416E-1,9.370513916E-2,4.424349518E0,8.912616119E0,9.950797727E0
6.778975417E-1,1.062789917E-2,4.424050140E0,8.990603943E0,1.002014430E1
6.879195416E-1,-2.903961182E-2,4.426894226E0,9.111402740E0,1.012995043E1
6.979405417E-1,-7.274871826E-2,4.383185120E0,9.232800293E0,1.022067539E1
7.079625417E-1,-8.771759033E-2,4.284839630E0,9.249864807E0,1.019448596E1
7.179835417E-1,-6.017486572E-2,4.252806244E0,9.184750214E0,1.012173989E1
7.280055417E-1,-1.856140137E-2,4.232598267E0,9.078471222E0,1.001667971E1
7.380265417E-1,-2.155517578E-2,4.160448303E0,8.955876160E0,9.875095569E0
7.480485417E-1,-4.909790039E-2,4.133654022E0,8.925788727E0,9.836625975E0
7.580669167E-1,-1.441502380E-1,4.163292389E0,8.945547638E0,9.867958520E0
7.680879167E-1,-2.836601257E-1,4.168082428E0,9.057365112E0,9.974429155E0
7.781099167E-1,-3.499722290E-1,4.188889160E0,9.188492432E0,1.010433898E1
7.881309167E-1,-3.591032410E-1,4.212090912E0,9.191935272E0,1.011742749E1
7.981529167E-1,-3.706292725E-1,4.257446594E0,9.228609009E0,1.017007580E1
8.081739167E-1,-3.632945251E-1,4.371359711E0,9.230105896E0,1.021937491E1
8.181959167E-1,-3.576063538E-1,4.420008545E0,9.149723053E0,1.016768360E1
8.282169166E-1,-3.546125793E-1,4.429289246E0,9.153315582E0,1.017484837E1
8.382389167E-1,-3.041674805E-1,4.499942322E0,9.240883484E0,1.028279759E1
8.482609167E-1,-2.514770508E-1,4.576283569E0,9.246871033E0,1.032037964E1
8.582819166E-1,-2.975811768E-1,4.534370728E0,9.252259827E0,1.030792823E1
8.683039166E-1,-3.989204407E-1,4.397854614E0,9.290879517E0,1.028691912E1
