Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
245.9774137,-6.307283936,-15.34174667,3.361559601,16.92486646
245.9874747,-6.321354675,-15.4462294,2.031575317,16.81287679
245.9975367,-6.37584137,-15.31629959,1.337468719,16.64419445
246.0075977,-6.546187134,-15.09895157,1.534908142,16.52836494
246.0176597,-7.061116333,-14.76319977,2.208657074,16.51331576
246.0277207,-7.684270477,-14.01520523,2.958597565,16.25506967
246.0377827,-7.81734375,-12.94762527,3.963607635,15.63528219
246.0478437,-6.951394501,-11.85265228,5.063670044,14.64404336
246.0579057,-5.313500519,-10.61233154,5.444178772,13.05733323
246.0679667,-2.602338409,-9.445058899,3.576063538,10.42926331
246.0780287,1.401984558,-8.886121216,-0.581840057,9.01483493
246.0880897,3.143163757,-7.539671173,-2.840044098,8.648235096
246.0981517,2.817890167,-6.063141632,-4.163292389,7.876242439
246.1082127,0.721200256,-4.417613525,-4.917573853,6.649659515
246.1182747,-0.730031891,-4.389322357,-5.425617371,7.016866905
246.1283357,-0.860859833,-5.055437164,-4.591701508,6.883476397
246.1383977,-1.712139587,-4.621190186,-2.59874588,5.57138231
246.1484587,-2.214345245,-3.99234787,-0.351618805,4.578842885
246.1585207,-1.971699829,-3.735631714,1.374741211,4.442123131
246.1685817,-1.492396545,-4.076323242,2.482737122,5.000764165
246.1786437,-1.272803192,-4.628524933,3.401227112,5.88316385
246.1887047,-0.989292755,-5.292544098,4.368665314,6.933610878
246.1987667,-0.049696655,-6.555168457,5.225184174,8.383033634
246.2088277,-0.542322235,-5.670807495,5.561983795,7.961647743
246.2188897,-3.410208435,-2.768492889,4.537065125,6.314984908
246.2289507,-3.989653473,-3.303480377,3.050955505,6.011542808
246.2390127,-3.16861084,-5.617069244,1.740281067,6.679830817
246.2490737,-2.563868408,-7.259453888,0.305963745,7.704979285
246.2591357,-1.490151215,-8.105793915,-1.363215179,8.353610073
246.2691967,0.300874329,-8.866811371,-2.726580048,9.281438897
246.2792587,1.751956787,-9.637408905,-4.159250793,10.64182175
246.2893197,3.698957977,-10.03363495,-6.756799164,12.64952392
246.2993817,7.059320068,-9.778864746,-12.00024536,17.01370284
246.3094427,10.13168106,-11.18668716,-8.445437622,17.29503823
246.3195047,11.3335318,-12.43494141,-4.953948212,17.53905111
246.3295657,11.77690979,-13.28083237,-5.223986664,18.5031389
246.3396277,11.50776947,-13.84979919,-5.588029633,18.85395903
